,Artist,Area
533,Oscar Nitzchke,3703.2307190099996
534,Oscar Nitzchke,3703.2307190099996
535,Oscar Nitzchke,3703.2307190099996
536,Oscar Nitzchke,3703.2307190099996
537,Oscar Nitzchke,3703.2307190099996
538,Oscar Nitzchke,3703.2307190099996
539,Louis I. Kahn,1362.02
540,Edward Larrabee Barnes,2724.3599999999997
541,Louis I. Kahn,1393.8500000000001
542,"Rem Koolhaas, Götz Keller, Willem Jan Neutelings, Brigitte Kochta, Marty Kohn, Luc Reuse, Ron Steiner, Jeroen Thomas, Garciella Torre",32397.75
543,Louis I. Kahn,1415.2
544,Kisho Kurokawa,2429.7000000000003
545,Louis I. Kahn,1607.3500000000001
546,Kisho Kurokawa,4749.5
547,Louis I. Kahn,9170.279999999999
548,Bernard Tschumi,10960.1
549,Louis I. Kahn,1357.25
550,Santiago Calatrava,4655.820000000001
551,Louis I. Kahn,988.1999999999999
552,Mario Botta,890.6
553,Hans Hollein,1913.4699999999998
554,Mario Botta,1787.16
555,Hans Hollein,457.90000000000003
556,Mario Botta,1076.81893476
557,Hans Hollein,2160.0
558,Mario Botta,8153.45
559,Hans Hollein,209.76
560,Mario Botta,12210.25
561,Hans Hollein,643.14
562,Mario Botta,7676.34
563,Hans Hollein,445.28
564,Mario Botta,1287.72
565,Hans Hollein,222.64
566,Louis I. Kahn,1235.5200000000002
567,Hans Hollein,760.95
568,Louis I. Kahn,1130.3
569,Emilio Ambasz,7422.6964512800005
570,Emilio Ambasz,7325.41826128
571,Emilio Ambasz,11787.31613516
572,Frank Lloyd Wright,4122.14
573,Frank Lloyd Wright,4122.14
574,Ludwig Mies van der Rohe,7795.35
575,Frank Lloyd Wright,4549.14
576,Ludwig Mies van der Rohe,7795.35
577,Frank Lloyd Wright,5448.72
578,Frank Lloyd Wright,5502.2
579,Richard Neutra,3439.62205776
580,Richard Neutra,2645.16657276
581,Wiel Arets,1209.6000000000001
583,Ludwig Mies van der Rohe,11464.960000000001
584,"Skidmore Owings & Merrill, Gordon Bunshaft",2748.39671302
585,Steven Holl,1209.6000000000001
586,"Skidmore Owings & Merrill, Gordon Bunshaft",2787.1064400200003
587,Toyo Ito,1209.6000000000001
588,"Skidmore Owings & Merrill, Gordon Bunshaft",2748.39671302
589,Rem Koolhaas,1209.6000000000001
590,"Skidmore Owings & Merrill, Gordon Bunshaft",2767.75157652
591,"Dominique Perrault Architecture, Paris, Dominique Perrault",1209.6000000000001
592,"Skidmore Owings & Merrill, Gordon Bunshaft",2709.68698602
594,Gaetano Pesce,3975.0
595,"Skidmore Owings & Merrill, Gordon Bunshaft",2748.39671302
596,Emilio Ambasz,10737.279999999999
597,Joel Sanders,2020.1899999999998
599,Joel Sanders,2026.46919764
600,"Skidmore Owings & Merrill, Gordon Bunshaft",9164.940395040001
